term,specification,odds_ratio,ci_low,ci_high
sham_first,naive,0.0867,0.0782,0.096
clinical_safety,naive,0.1385,0.1192,0.1608
semantic,naive,0.1851,0.1582,0.2166
injection,naive,0.2525,0.2096,0.3042
sham_first,cluster_robust,0.0867,0.0707,0.1062
clinical_safety,cluster_robust,0.1385,0.1005,0.1908
semantic,cluster_robust,0.1851,0.1331,0.2575
injection,cluster_robust,0.2525,0.1713,0.3723
sham_first,gee_exchangeable,0.0875,0.0711,0.1076
clinical_safety,gee_exchangeable,0.1657,0.1178,0.233
semantic,gee_exchangeable,0.2288,0.1615,0.3244
injection,gee_exchangeable,0.259,0.1648,0.4068
